account_id,account_hash,institution_type,owner_person_id,source_id,synthetic_demo_record
ACC_00043,6763acc21f1d1e43,Commercial Bank,P_00428,BANK_SRC_98,True
ACC_00044,dc1ff338d9b93a55,NBFC,P_01245,BANK_SRC_40,True
ACC_00045,1357fa3c9a94bb3b,NBFC,P_03834,BANK_SRC_32,True
ACC_00046,33866bb26454099b,Cooperative Bank,P_03251,BANK_SRC_34,True
ACC_00047,890e8b6c6303f0d5,Commercial Bank,P_02655,BANK_SRC_78,True
ACC_00048,cb9292557d9f9df6,Payment Bank,P_00055,BANK_SRC_54,True
ACC_00049,1451b5830ab9b668,Cooperative Bank,P_04829,BANK_SRC_68,True
ACC_00050,90b790550575b706,Payment Bank,P_04680,BANK_SRC_72,True
ACC_00051,db53c15d045deab6,Cooperative Bank,P_04743,BANK_SRC_42,True
ACC_00052,0061cbe0ca036325,Commercial Bank,P_03699,BANK_SRC_71,True
ACC_00053,de2cce9b1d00a1a5,NBFC,P_01775,BANK_SRC_11,True
ACC_00054,0527d6c158ffa51a,NBFC,P_01790,BANK_SRC_28,True
ACC_00055,79ac2dec1175f603,NBFC,P_02910,BANK_SRC_23,True
ACC_00056,162417ea8c1f6691,Payment Bank,P_00848,BANK_SRC_30,True
ACC_00057,368d458e003c578f,Commercial Bank,P_01682,BANK_SRC_79,True
ACC_00058,264ada45124501bd,Cooperative Bank,P_00352,BANK_SRC_14,True
ACC_00059,660e0704c632c87d,Cooperative Bank,P_04259,BANK_SRC_90,True
ACC_00060,e1b74a6e2d785736,NBFC,P_02119,BANK_SRC_38,True
ACC_00061,a0b51cfefd98f83f,Commercial Bank,P_01404,BANK_SRC_70,True
ACC_00062,e4a05415f8ef2f79,Commercial Bank,P_04370,BANK_SRC_31,True
ACC_00063,45f30ce62271d7b6,Payment Bank,P_03616,BANK_SRC_29,True
ACC_00064,5977e8dce02b0411,Cooperative Bank,P_01507,BANK_SRC_10,True
ACC_00065,e5558aef70006d22,Commercial Bank,P_00525,BANK_SRC_80,True
ACC_00066,0ea0b58f43c48568,NBFC,P_02465,BANK_SRC_42,True
ACC_00067,009c322e692f296c,NBFC,P_00569,BANK_SRC_88,True
ACC_00068,a56cb0a3d4f3581b,NBFC,P_03522,BANK_SRC_51,True
ACC_00069,0cc92a11f8b8cdc6,Payment Bank,P_00543,BANK_SRC_55,True
ACC_00070,67bec8494ba383a0,Commercial Bank,P_02720,BANK_SRC_56,True
ACC_00071,744e117ea4c1e45a,Commercial Bank,P_00662,BANK_SRC_89,True
ACC_00072,f69bd50161e60992,Payment Bank,P_02035,BANK_SRC_26,True
ACC_00073,786b9945651f0ca9,Commercial Bank,P_01056,BANK_SRC_11,True
ACC_00074,0628022854696dfc,NBFC,P_01719,BANK_SRC_27,True
ACC_00075,8e7abeabf9d8df9a,Commercial Bank,P_01057,BANK_SRC_29,True
ACC_00076,eb276b3342de8d55,Cooperative Bank,P_04430,BANK_SRC_95,True
ACC_00077,cc20fefd9535e60b,Payment Bank,P_02274,BANK_SRC_35,True
ACC_00078,f4f397662a533237,Commercial Bank,P_03743,BANK_SRC_65,True
ACC_00079,c9d296960493a896,Commercial Bank,P_04696,BANK_SRC_87,True
ACC_00080,6cac4c9677c74df6,NBFC,P_00917,BANK_SRC_38,True
ACC_00081,0242ba3066863d1a,NBFC,P_01016,BANK_SRC_81,True
ACC_00082,7b617e5286fd698a,Cooperative Bank,P_03861,BANK_SRC_36,True
ACC_00083,fdcc1e6f9d26bf12,Payment Bank,P_00012,BANK_SRC_42,True
ACC_00084,50e5d8b647ed27ff,NBFC,P_00527,BANK_SRC_22,True
ACC_00085,023427d8b42312b3,NBFC,P_03571,BANK_SRC_10,True
ACC_00086,8da372180ec81ed6,Payment Bank,P_00251,BANK_SRC_47,True
ACC_00087,c0436f123ae89280,Commercial Bank,P_02714,BANK_SRC_52,True
ACC_00088,e2400bb568c35a1e,Payment Bank,P_00779,BANK_SRC_28,True
ACC_00089,c004889ccc2df350,Cooperative Bank,P_04753,BANK_SRC_76,True
ACC_00090,14221e7dce7cb3ef,Payment Bank,P_00030,BANK_SRC_22,True
ACC_00091,f91a389acc9c0df2,Payment Bank,P_00975,BANK_SRC_12,True
ACC_00092,5aefe81358edad98,NBFC,P_04996,BANK_SRC_22,True
ACC_00093,49a0fa350f132239,Cooperative Bank,P_01599,BANK_SRC_52,True
ACC_00094,cd7d8a3deb9a468f,Commercial Bank,P_03052,BANK_SRC_51,True
ACC_00095,72cc8ecbfc3477e8,Cooperative Bank,P_04219,BANK_SRC_68,True
ACC_00096,651c8ed3f947468b,Cooperative Bank,P_03646,BANK_SRC_54,True
ACC_00097,9e970348793647f8,Payment Bank,P_02269,BANK_SRC_73,True
ACC_00098,c74678c72a6dfedb,Payment Bank,P_03315,BANK_SRC_15,True
ACC_00099,2c8318876842fd16,Payment Bank,P_00873,BANK_SRC_30,True
ACC_00100,6b528db206a58c76,NBFC,P_02660,BANK_SRC_33,True
ACC_00101,2de172efe6390f77,Cooperative Bank,P_03793,BANK_SRC_61,True
ACC_00102,d1724153a91d495e,NBFC,P_00331,BANK_SRC_45,True
ACC_00103,f68b5d2a920f6002,Cooperative Bank,P_04451,BANK_SRC_12,True
ACC_00104,c985702cf71415b9,Commercial Bank,P_02135,BANK_SRC_85,True
ACC_00105,216dad132d4b6d27,Commercial Bank,P_03858,BANK_SRC_49,True
ACC_00106,a66f118adc2c5261,Cooperative Bank,P_01076,BANK_SRC_57,True
ACC_00107,1f7da6ab04c7bbb7,Payment Bank,P_02691,BANK_SRC_86,True
ACC_00108,101355cca8e0d4b8,Payment Bank,P_01484,BANK_SRC_82,True
ACC_00109,5ac82be01eb3998f,NBFC,P_03333,BANK_SRC_73,True
ACC_00110,82df23c791d7d771,Commercial Bank,P_04912,BANK_SRC_97,True
ACC_00111,dd91ec575c33c688,Cooperative Bank,P_01544,BANK_SRC_12,True
ACC_00112,322991aae905d0b7,NBFC,P_02503,BANK_SRC_62,True
ACC_00113,a5e4770fb797fa52,Commercial Bank,P_01170,BANK_SRC_21,True
ACC_00114,a266ecfa3e8b8637,Payment Bank,P_03188,BANK_SRC_77,True
ACC_00115,80b10d4852ed334a,Commercial Bank,P_04674,BANK_SRC_54,True
ACC_00116,fdf780ed82522239,Cooperative Bank,P_01376,BANK_SRC_35,True
ACC_00117,f1542db0be51e9c6,NBFC,P_03105,BANK_SRC_17,True
ACC_00118,6f245e95e8cbfbc7,Cooperative Bank,P_00064,BANK_SRC_44,True
ACC_00119,bbe448e45ed19ad5,Cooperative Bank,P_03757,BANK_SRC_95,True
ACC_00120,ad04f80b33b1e106,Cooperative Bank,P_04255,BANK_SRC_10,True
ACC_00121,c19006f961adfc00,Commercial Bank,P_04158,BANK_SRC_24,True
ACC_00122,ee598909c69d188a,NBFC,P_02067,BANK_SRC_83,True
ACC_00123,1b3999352199d5e6,Commercial Bank,P_04870,BANK_SRC_91,True
ACC_00124,8eb197571bfc120c,Commercial Bank,P_02690,BANK_SRC_38,True
ACC_00125,992796d805b7c826,Payment Bank,P_01731,BANK_SRC_92,True
ACC_00126,94a0ebbffb062954,NBFC,P_04595,BANK_SRC_75,True
ACC_00127,4f27cb85df93e2e4,Cooperative Bank,P_00860,BANK_SRC_83,True
ACC_00128,528637c805afcc48,Commercial Bank,P_03830,BANK_SRC_92,True
ACC_00129,9f74f9e2622639aa,NBFC,P_00034,BANK_SRC_85,True
ACC_00130,75c14cae30dfd54c,Payment Bank,P_02380,BANK_SRC_45,True
ACC_00131,e9353ab1594f7d01,Payment Bank,P_02562,BANK_SRC_49,True
ACC_00132,fef4c3b7ccc2704c,NBFC,P_02319,BANK_SRC_61,True
ACC_00133,a7780c7541d056d9,NBFC,P_04764,BANK_SRC_91,True
ACC_00134,8877f77ed4b0268c,Cooperative Bank,P_02813,BANK_SRC_48,True
ACC_00135,8c1c7ca88cf0311b,Commercial Bank,P_03703,BANK_SRC_98,True
ACC_00136,ab98c577650ac03c,Payment Bank,P_03204,BANK_SRC_84,True
ACC_00137,e8d2f452ea27cd38,Payment Bank,P_04319,BANK_SRC_90,True
ACC_00138,cc2cc66c6ab3759b,NBFC,P_04651,BANK_SRC_87,True
ACC_00139,7f6b8964f23a9692,Payment Bank,P_04689,BANK_SRC_74,True
ACC_00140,042f028c6519481d,Cooperative Bank,P_02575,BANK_SRC_96,True
ACC_00141,3f2cccb20a77bace,Commercial Bank,P_04167,BANK_SRC_58,True
ACC_00142,06c03d0f8731e7c5,Cooperative Bank,P_03908,BANK_SRC_49,True
ACC_00143,a6a7adb8267580eb,NBFC,P_00320,BANK_SRC_93,True
ACC_00144,8093cfd61de4ff78,NBFC,P_00802,BANK_SRC_59,True
ACC_00145,c313e11de6abd238,Cooperative Bank,P_00770,BANK_SRC_50,True
ACC_00146,e1ce3e5a0fc2e29a,Commercial Bank,P_00210,BANK_SRC_72,True
ACC_00147,64444bfcb9b72b96,NBFC,P_04257,BANK_SRC_84,True
ACC_00148,9d6d0424a3a08c0a,Cooperative Bank,P_01284,BANK_SRC_74,True
ACC_00149,f8a9a0f6cab02d1c,Cooperative Bank,P_02635,BANK_SRC_34,True
ACC_00150,0ff2f1b0e0a14e64,Payment Bank,P_03349,BANK_SRC_26,True
ACC_00151,7eb048648bb6e62c,Cooperative Bank,P_04542,BANK_SRC_38,True
ACC_00152,cd27f71b84b5c8c7,NBFC,P_00713,BANK_SRC_50,True
ACC_00153,e1c4eff6dadfcdf6,Cooperative Bank,P_01603,BANK_SRC_50,True
ACC_00154,6c7caefa5fd97359,Payment Bank,P_02712,BANK_SRC_89,True
ACC_00155,41190099d69aa4db,Commercial Bank,P_03691,BANK_SRC_34,True
ACC_00156,20ce8fa7ce94692f,Cooperative Bank,P_01145,BANK_SRC_44,True
ACC_00157,84972260c5c25b1e,Payment Bank,P_03950,BANK_SRC_64,True
ACC_00158,868d1ec148a034fc,Cooperative Bank,P_02702,BANK_SRC_55,True
ACC_00159,dbc51423a305ba75,NBFC,P_02572,BANK_SRC_15,True
ACC_00160,b6a7f4c3e1cb9a6f,NBFC,P_01219,BANK_SRC_24,True
ACC_00161,09d0e28ee990d557,Cooperative Bank,P_03853,BANK_SRC_63,True
ACC_00162,7173a98d31fd93eb,Payment Bank,P_02533,BANK_SRC_70,True
ACC_00163,0af173090b62f30e,Cooperative Bank,P_03209,BANK_SRC_94,True
ACC_00164,6ed6104e0bfff09a,NBFC,P_04892,BANK_SRC_96,True
ACC_00165,aa6ce3133575d104,Payment Bank,P_00117,BANK_SRC_13,True
ACC_00166,c235b4c15c787211,Commercial Bank,P_03585,BANK_SRC_29,True
ACC_00167,bb28911403c9528c,Cooperative Bank,P_01384,BANK_SRC_93,True
ACC_00168,c6d72a59f993ea82,Payment Bank,P_00217,BANK_SRC_46,True
ACC_00169,258a2fe62d234b9a,Commercial Bank,P_03435,BANK_SRC_42,True
ACC_00170,6669a65035547d1f,Payment Bank,P_03040,BANK_SRC_84,True
ACC_00171,820d5d68616ed70f,NBFC,P_02728,BANK_SRC_37,True
ACC_00172,e265a8e22a23d552,NBFC,P_02727,BANK_SRC_73,True
ACC_00173,550acccd49970e33,Payment Bank,P_03992,BANK_SRC_37,True
ACC_00174,147ad131de87f00b,NBFC,P_01902,BANK_SRC_62,True
ACC_00175,699cb2b76ee664df,Payment Bank,P_01571,BANK_SRC_96,True
ACC_00176,60d2257df57c76b2,Cooperative Bank,P_03368,BANK_SRC_98,True
ACC_00177,fe888172b0db99da,NBFC,P_02049,BANK_SRC_94,True
ACC_00178,8dc0fda8c1df69b2,Commercial Bank,P_01165,BANK_SRC_33,True
ACC_00179,f1a5dc52f8c0442d,NBFC,P_01506,BANK_SRC_57,True
ACC_00180,875fff202ff419bd,NBFC,P_02763,BANK_SRC_23,True
ACC_00181,d493143f5bb71f59,Commercial Bank,P_03752,BANK_SRC_65,True
ACC_00182,6d5e5383d05ce7eb,Payment Bank,P_03787,BANK_SRC_96,True
ACC_00183,5c17937b448c7bea,Commercial Bank,P_00884,BANK_SRC_36,True
ACC_00184,69c3d3fdc7b1de39,Payment Bank,P_04785,BANK_SRC_49,True
ACC_00185,b3f1c8bcb14371d9,NBFC,P_00272,BANK_SRC_30,True
ACC_00186,36009495bc5f32ab,Commercial Bank,P_00939,BANK_SRC_80,True
ACC_00187,9be0231a1e882f18,Cooperative Bank,P_01587,BANK_SRC_85,True
ACC_00188,a53cdf5211377de8,Cooperative Bank,P_00595,BANK_SRC_83,True
ACC_00189,20b3d94c41b25180,Cooperative Bank,P_03096,BANK_SRC_24,True
ACC_00190,b3a4fd45fa9abd1d,Cooperative Bank,P_00021,BANK_SRC_13,True
ACC_00191,4773fa9533bb547e,Cooperative Bank,P_03936,BANK_SRC_63,True
ACC_00192,dfeb6a0148008501,Cooperative Bank,P_00346,BANK_SRC_28,True
ACC_00193,ef9f97133b111ca3,NBFC,P_04282,BANK_SRC_66,True
ACC_00194,354af8b5781a3b76,Commercial Bank,P_02340,BANK_SRC_50,True
ACC_00195,9751683b13589d06,Payment Bank,P_02392,BANK_SRC_72,True
ACC_00196,4ca043bbf2b85aad,NBFC,P_04032,BANK_SRC_34,True
ACC_00197,f8e1e7d94ecc9130,Commercial Bank,P_01235,BANK_SRC_20,True
ACC_00198,ac9d6de372d6dc55,Commercial Bank,P_01372,BANK_SRC_47,True
ACC_00199,3c7f782e15f245ae,Payment Bank,P_02168,BANK_SRC_27,True
ACC_00200,6d2ada1982f049da,Commercial Bank,P_02266,BANK_SRC_82,True
ACC_00201,b1a97b60c5d5c249,NBFC,P_03416,BANK_SRC_43,True
ACC_00202,f95eb952a133b3cc,Payment Bank,P_03605,BANK_SRC_32,True
ACC_00203,d90f0889db85a11b,NBFC,P_02964,BANK_SRC_80,True
ACC_00204,4a9fc9659006c2f5,NBFC,P_03816,BANK_SRC_73,True
ACC_00205,ea9a950e4c0f68e7,Payment Bank,P_04081,BANK_SRC_11,True
ACC_00206,13f66538b20b1273,NBFC,P_03617,BANK_SRC_50,True
ACC_00207,bee3f04ad8f58544,Commercial Bank,P_03921,BANK_SRC_65,True
ACC_00208,57e11f2c592170ce,NBFC,P_00708,BANK_SRC_29,True
ACC_00209,e28b444947d14fa6,NBFC,P_04067,BANK_SRC_76,True
ACC_00210,607019abe4a628b6,Cooperative Bank,P_00503,BANK_SRC_75,True
ACC_00211,35dc9c98a4a11ee4,Commercial Bank,P_01202,BANK_SRC_92,True
ACC_00212,16b4f2c960e2b944,NBFC,P_03094,BANK_SRC_13,True
ACC_00213,d2fb413e88bcd899,NBFC,P_00011,BANK_SRC_19,True
ACC_00214,057477d0149053d8,Commercial Bank,P_04323,BANK_SRC_52,True
ACC_00215,717d81d3c4689215,Commercial Bank,P_03172,BANK_SRC_35,True
ACC_00216,5ddbb5c4caf808e7,Payment Bank,P_00609,BANK_SRC_70,True
ACC_00217,17e5e6f2da4891c6,Commercial Bank,P_04729,BANK_SRC_28,True
ACC_00218,75c283de1c9e792e,Cooperative Bank,P_03820,BANK_SRC_25,True
ACC_00219,708f79e48ffa9c07,Cooperative Bank,P_01428,BANK_SRC_81,True
ACC_00220,e7164db17a6aadc6,Commercial Bank,P_02958,BANK_SRC_61,True
ACC_00221,c5791dbeb9c41d5e,Commercial Bank,P_00148,BANK_SRC_88,True
ACC_00222,f96f74096a9f1d81,Commercial Bank,P_04558,BANK_SRC_76,True
ACC_00223,d69f5651e4b47480,NBFC,P_03605,BANK_SRC_10,True
ACC_00224,aec09b616e6faad5,NBFC,P_04311,BANK_SRC_23,True
ACC_00225,35d61b00d113baf6,NBFC,P_03007,BANK_SRC_69,True
ACC_00226,4da517537e40dbb1,Payment Bank,P_00848,BANK_SRC_17,True
ACC_00227,f503aff5fb5e9a0e,NBFC,P_02383,BANK_SRC_80,True
ACC_00228,9c7cab78e7d978d7,NBFC,P_04744,BANK_SRC_67,True
ACC_00229,30c1e0f12aa79d73,Commercial Bank,P_01243,BANK_SRC_95,True
ACC_00230,c8bc028155721711,Commercial Bank,P_00440,BANK_SRC_83,True
ACC_00231,c1dc058c4b913213,Commercial Bank,P_00005,BANK_SRC_73,True
ACC_00232,a199920aad8a5041,Commercial Bank,P_04549,BANK_SRC_32,True
ACC_00233,9d0060fc3a7fb3bc,Cooperative Bank,P_00097,BANK_SRC_54,True
ACC_00234,39f260ccfdee3797,Cooperative Bank,P_02416,BANK_SRC_97,True
ACC_00235,088625b8503d53ac,Commercial Bank,P_01882,BANK_SRC_20,True
ACC_00236,a814f137266fef6c,NBFC,P_00098,BANK_SRC_56,True
ACC_00237,6f51459554e46d20,NBFC,P_04941,BANK_SRC_96,True
ACC_00238,6118d78fca43227c,NBFC,P_02735,BANK_SRC_51,True
ACC_00239,060699f09bf469fa,Payment Bank,P_04875,BANK_SRC_42,True
ACC_00240,dbc17ef97a8cf4c8,NBFC,P_01369,BANK_SRC_94,True
ACC_00241,ca1a7680d90ea9b8,Cooperative Bank,P_02161,BANK_SRC_17,True
ACC_00242,3512391d88676105,Payment Bank,P_02353,BANK_SRC_24,True
ACC_00243,93d1c362b97a77fd,Payment Bank,P_02861,BANK_SRC_15,True
ACC_00244,2fbad658d7c652e5,NBFC,P_03002,BANK_SRC_88,True
ACC_00245,2941becbfb2c6cf7,NBFC,P_01883,BANK_SRC_60,True
ACC_00246,28c791941b0a99bf,NBFC,P_04698,BANK_SRC_58,True
ACC_00247,37c038959b1c715a,Payment Bank,P_04468,BANK_SRC_53,True
ACC_00248,91a28ba0db733787,NBFC,P_04163,BANK_SRC_48,True
ACC_00249,40fb2c0074a35845,Payment Bank,P_04905,BANK_SRC_76,True
ACC_00250,3454b61d8ee4380e,Commercial Bank,P_02492,BANK_SRC_45,True
ACC_00251,dae1a9225ec93e24,Commercial Bank,P_02284,BANK_SRC_75,True
ACC_00252,6c9ec41d02a67d6e,NBFC,P_00478,BANK_SRC_31,True
ACC_00253,887bfb4786de3827,Payment Bank,P_02369,BANK_SRC_66,True
ACC_00254,494f0280cde6af60,Commercial Bank,P_02141,BANK_SRC_82,True
ACC_00255,b3eb6de28ca92693,Cooperative Bank,P_04732,BANK_SRC_33,True
ACC_00256,581df43246ed17c0,Cooperative Bank,P_02166,BANK_SRC_66,True
ACC_00257,0632231ff35d0561,Commercial Bank,P_04843,BANK_SRC_21,True
ACC_00258,63f9b6094bc4b184,Commercial Bank,P_00465,BANK_SRC_78,True
ACC_00259,6dcfd264f7bc86fd,Payment Bank,P_02099,BANK_SRC_86,True
ACC_00260,13deb446b6687173,Commercial Bank,P_01822,BANK_SRC_41,True
ACC_00261,48368a4cd0d4bf4e,NBFC,P_02925,BANK_SRC_25,True
ACC_00262,fa342ddb5afb7b6b,Commercial Bank,P_04193,BANK_SRC_94,True
ACC_00263,50eedb3045f49fac,Payment Bank,P_03719,BANK_SRC_98,True
ACC_00264,70a1ee9c1a9e2d52,Cooperative Bank,P_04454,BANK_SRC_28,True
ACC_00265,fc5b4fecbb7c3efb,Payment Bank,P_03430,BANK_SRC_88,True
ACC_00266,7964d710138d7b37,Payment Bank,P_04154,BANK_SRC_52,True
ACC_00267,2b1e4c80f5d37a75,NBFC,P_02477,BANK_SRC_80,True
ACC_00268,808fbd971dfa8dad,Cooperative Bank,P_00836,BANK_SRC_18,True
ACC_00269,a0bb704ba457cb86,Payment Bank,P_02358,BANK_SRC_67,True
ACC_00270,642b060f176019d9,Payment Bank,P_02047,BANK_SRC_32,True
ACC_00271,5f904e1c539ee2f8,Payment Bank,P_04784,BANK_SRC_97,True
ACC_00272,fe3bb5d757e20f3c,Commercial Bank,P_03887,BANK_SRC_43,True
ACC_00273,ff6dcb12d9111693,Cooperative Bank,P_03521,BANK_SRC_73,True
ACC_00274,e022483a63bba249,Payment Bank,P_02753,BANK_SRC_54,True
ACC_00275,72007e1cb3f3f6da,NBFC,P_01181,BANK_SRC_67,True
ACC_00276,3949e6d78251b062,NBFC,P_03506,BANK_SRC_85,True
ACC_00277,d8861b2fd9b7e3ae,NBFC,P_04035,BANK_SRC_52,True
ACC_00278,6959d10c78c5497a,Payment Bank,P_02450,BANK_SRC_67,True
ACC_00279,578b28656682050e,Cooperative Bank,P_02464,BANK_SRC_45,True
ACC_00280,814d39c1c0f01f99,Cooperative Bank,P_00035,BANK_SRC_63,True
ACC_00281,6ee02bbaaf4113dd,NBFC,P_00027,BANK_SRC_33,True
ACC_00282,70e823b74563363b,Cooperative Bank,P_03717,BANK_SRC_42,True
ACC_00283,83b5bc0ba83dafdd,Commercial Bank,P_03088,BANK_SRC_24,True
ACC_00284,8332282aeaa81f3c,Payment Bank,P_01255,BANK_SRC_47,True
ACC_00285,b2d959c4bc64f1d7,NBFC,P_03921,BANK_SRC_95,True
ACC_00286,4f654088b47030a5,Commercial Bank,P_02863,BANK_SRC_56,True
ACC_00287,4883415ad74805d3,Cooperative Bank,P_03356,BANK_SRC_99,True
ACC_00288,2e956123551452b3,NBFC,P_01967,BANK_SRC_52,True
ACC_00289,5f90f72b2747b4fc,Payment Bank,P_02116,BANK_SRC_39,True
ACC_00290,4b4b1c9f3f845a57,Cooperative Bank,P_00837,BANK_SRC_26,True
ACC_00291,11de3d717964e04c,Cooperative Bank,P_03683,BANK_SRC_16,True
ACC_00292,d8893d99d1cc1aa7,Cooperative Bank,P_01747,BANK_SRC_93,True
ACC_00293,9b193d1af9ded010,NBFC,P_04127,BANK_SRC_91,True
ACC_00294,0a366d250cdd1222,NBFC,P_01327,BANK_SRC_55,True
ACC_00295,b14e3272c4d35221,Cooperative Bank,P_03428,BANK_SRC_90,True
ACC_00296,63351152f359c3c0,Commercial Bank,P_00627,BANK_SRC_72,True
ACC_00297,ae2d42ade377a20f,NBFC,P_04057,BANK_SRC_79,True
ACC_00298,042cf015135efb96,NBFC,P_00390,BANK_SRC_19,True
ACC_00299,50dca4908078247c,Payment Bank,P_02613,BANK_SRC_75,True
ACC_00300,c375a366e5e63864,Payment Bank,P_03288,BANK_SRC_65,True
ACC_00301,9459416289f279de,Commercial Bank,P_02672,BANK_SRC_31,True
ACC_00302,a3f431101bfe9170,Cooperative Bank,P_04514,BANK_SRC_53,True
ACC_00303,33c15de3c86f0362,NBFC,P_01143,BANK_SRC_65,True
ACC_00304,99adb5d856971c95,Payment Bank,P_04785,BANK_SRC_59,True
ACC_00305,57e0505fbebec64b,Payment Bank,P_04828,BANK_SRC_32,True
ACC_00306,08b7a97df11f57e1,Commercial Bank,P_04494,BANK_SRC_52,True
ACC_00307,ef4226d6c49a1bf3,Commercial Bank,P_01263,BANK_SRC_95,True
ACC_00308,7141046c87214fb9,NBFC,P_01805,BANK_SRC_21,True
ACC_00309,c96f963347cdda7e,NBFC,P_01373,BANK_SRC_58,True
ACC_00310,226297d7f62ce334,NBFC,P_04381,BANK_SRC_71,True
ACC_00311,12aa486c831ac233,NBFC,P_04062,BANK_SRC_79,True
ACC_00312,548f5e0239418069,Cooperative Bank,P_02769,BANK_SRC_77,True
ACC_00313,1a3bdc766bba9ad0,Commercial Bank,P_03791,BANK_SRC_41,True
ACC_00314,6bfa155c99adfaa7,NBFC,P_01226,BANK_SRC_67,True
ACC_00315,eab8a31f10b2d742,Commercial Bank,P_04597,BANK_SRC_10,True
ACC_00316,ba3bc8b081a8871a,Cooperative Bank,P_03332,BANK_SRC_44,True
ACC_00317,3ae32239374416f6,Cooperative Bank,P_02843,BANK_SRC_53,True
ACC_00318,83056e8886edae6d,Cooperative Bank,P_03484,BANK_SRC_67,True
ACC_00319,b228a8f2a6e58f35,Commercial Bank,P_04190,BANK_SRC_42,True
ACC_00320,4173e86a545ef732,Payment Bank,P_02709,BANK_SRC_84,True
ACC_00321,d5ad4f6af6eccdcc,Cooperative Bank,P_03849,BANK_SRC_69,True
ACC_00322,6d8b4eea9b9ca187,Cooperative Bank,P_01808,BANK_SRC_31,True
ACC_00323,65b7e3368afb7ad7,Payment Bank,P_04512,BANK_SRC_30,True
ACC_00324,ba3df3a7500de576,Payment Bank,P_02134,BANK_SRC_53,True
ACC_00325,3e041da2fe89ec65,Cooperative Bank,P_02427,BANK_SRC_84,True
